occurrenceID	scientificName	order	family	genus	specificEpithet	country	institutionCode	catalogNumber	recordedBy	recordNumber	dynamicProperties	associatedSequences	basisOfRecord	kingdom
s18517	Amborella trichopoda	Amborellales	Amborellaceae	Amborella	trichopoda						{"phylogenies": [{"phyloTreeTipLabel": "Amborellales_Amborellaceae_Amborella_trichopoda", "phyloTreeFileName": "global_tree_renamed.nex"}]}		MaterialCitation	Plantae
s17365	Austrobaileya scandens	Austrobaileyales	Austrobaileyaceae	Austrobaileya	scandens		GA		Leebens-Mack, J.	2013-22	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Austrobaileyaceae_Austrobaileya_scandens", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040119	MaterialCitation	Plantae
s18271	Illicium floridanum	Austrobaileyales	Schisandraceae	Illicium	floridanum				Soltis	2960	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Illicium_floridanum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040118	MaterialCitation	Plantae
s18003	Illicium parviflorum	Austrobaileyales	Schisandraceae	Illicium	parviflorum				Soltis	2799	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Illicium_parviflorum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR2040117	MaterialCitation	Plantae
s17799	Kadsura heteroclita	Austrobaileyales	Schisandraceae	Kadsura	heteroclita				Chen, T.	081210-04	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Kadsura_heteroclita", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR364331	MaterialCitation	Plantae
s01006	Schisandra rubriflora	Austrobaileyales	Schisandraceae	Schisandra	rubriflora		K		Chase, M.W.	3849	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Schisandraceae_Schisandra_rubriflora", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180153	MaterialCitation	Plantae
s00948	Trimenia moorei	Austrobaileyales	Trimeniaceae	Trimenia	moorei	Australia	K		Chase, M.W.	455	{"phylogenies": [{"phyloTreeTipLabel": "Austrobaileyales_Trimeniaceae_Trimenia_moorei", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5006124	MaterialCitation	Plantae
s05289	Brasenia schreberi	Nymphaeales	Cabombaceae	Brasenia	schreberi		K		Maurin, O.	4395	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Cabombaceae_Brasenia_schreberi", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618329	MaterialCitation	Plantae
s05404	Cabomba caroliniana	Nymphaeales	Cabombaceae	Cabomba	caroliniana		K	MO2739816	Stevens, W.D.	34973	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Cabombaceae_Cabomba_caroliniana", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180008	MaterialCitation	Plantae
s05408	Trithuria austinensis	Nymphaeales	Hydatellaceae	Trithuria	austinensis		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Hydatellaceae_Trithuria_austinensis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4179984	MaterialCitation	Plantae
s07034	Trithuria filamentosa	Nymphaeales	Hydatellaceae	Trithuria	filamentosa		K	K001275292	Moscal, A.	13940	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Hydatellaceae_Trithuria_filamentosa", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR4180047	MaterialCitation	Plantae
s07527	Barclaya longifolia	Nymphaeales	Nymphaeaceae	Barclaya	longifolia		K		Maurin, O.	4400	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Barclaya_longifolia", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5033816	MaterialCitation	Plantae
s05285	Euryale ferox	Nymphaeales	Nymphaeaceae	Euryale	ferox		K		Maurin, O.	4393	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Euryale_ferox", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618328	MaterialCitation	Plantae
s18323	Nuphar advena	Nymphaeales	Nymphaeaceae	Nuphar	advena				Soltis	2783	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nuphar_advena", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR364330	MaterialCitation	Plantae
s05296	Nuphar lutea	Nymphaeales	Nymphaeaceae	Nuphar	lutea		K		Maurin, O.	4398	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nuphar_lutea", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618331	MaterialCitation	Plantae
s05018	Nymphaea carpentariae	Nymphaeales	Nymphaeaceae	Nymphaea	carpentariae		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_carpentariae", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618266	MaterialCitation	Plantae
s05283	Nymphaea sp.	Nymphaeales	Nymphaeaceae	Nymphaea	sp.		K		Maurin, O.	4392	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_sp.", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618327	MaterialCitation	Plantae
s08459	Nymphaea tetragona	Nymphaeales	Nymphaeaceae	Nymphaea	tetragona		K		Maurin, O.	4407	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Nymphaea_tetragona", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618867	MaterialCitation	Plantae
s08508	Victoria amazonica	Nymphaeales	Nymphaeaceae	Victoria	amazonica		K		Maurin, O.	4423	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_amazonica", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034381	MaterialCitation	Plantae
s05022	Victoria cruziana	Nymphaeales	Nymphaeaceae	Victoria	cruziana		K				{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_cruziana", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618268	MaterialCitation	Plantae
s06036	Victoria sp.	Nymphaeales	Nymphaeaceae	Victoria	sp.		K		Magdalena, C.	s.n.	{"phylogenies": [{"phyloTreeTipLabel": "Nymphaeales_Nymphaeaceae_Victoria_sp.", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR7618574	MaterialCitation	Plantae
s29309	Ceratophyllum demersum	Ceratophyllales	Ceratophyllaceae	Ceratophyllum	demersum						{"phylogenies": [{"phyloTreeTipLabel": "Ceratophyllales_Ceratophyllaceae_Ceratophyllum_demersum", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/SRR9651191	MaterialCitation	Plantae
s07569	Aciphylla glacialis	Apiales	Apiaceae	Aciphylla	glacialis	New Zealand	K		Melville, R.	5551	{"phylogenies": [{"phyloTreeTipLabel": "Apiales_Apiaceae_Aciphylla_glacialis", "phyloTreeFileName": "global_tree_renamed.nex"}]}	https://www.ebi.ac.uk/ena/browser/view/ERR5034281	MaterialCitation	Plantae
