Día,22,,22,,24,,24,,26,,26,,28,,28,,30,,30,,2,,2,,3,,3,,4,,4,,6,,6,,7,,7,,9,,9,,10,,10,,11,,11,,13,,13,,15,,15,,16,,16,,17,,17,,20,,20,,,
Mes,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,,
Año,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,24,,,
Lance (consecutivo),39,,39,,120,,120,,207,,207,,281,,281,,365,,365,,400,,400,,446,,446,,485,,485,,576,,576,,616,,616,,658,,658,,692,,692,,747,,747,,861,,861,,906,,906,,958,,958,,1005,,1005,,1131,,1131,,,
Banda,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,Estribor,,Babor,,,
Vol de la muestra (lts),20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,,20,
Peso De La Muestra (kg),13.9,,11.1,,13.14,,17.7,,12.53,,16.18,,10.68,,15.71,,10.59,,14.9,,14.16,,14.06,,19.7,,22.6,,17.34,,19.42,,12.32,,12.41,,13.8,,18.55,,11.96,,17.42,,20.53,,15.15,,16.69,,14.76,,16.9,,14.5,,16.96,,18.52,,11.62,,13.16,,11.71,,15.88,,15.25,,13.93,,545.73,
Peso De La Muestra Luego De Lavado,9.8,,9.7,,8.7,,4.1,,7.76,,7.55,,9.21,,11.92,,10.59,,12.56,,13.6,,13.12,,9.16,,11.72,,10.56,,10.69,,12.32,,12.41,,13.8,,13.5,,11.96,,13.42,,10.3,,11.05,,12.21,,10.96,,12.42,,10.82,,11.6,,9.54,,11.62,,13.16,,11.44,,13.33,,9.97,,11.09,,397.66,
Peso Vieira,2.49,,1.3,,5.3,,1.9,,4.43,,3.9,,6.27,,5.01,,6.79,,7.08,,8.63,,8.97,,5.61,,5.46,,5.69,,6.21,,5.62,,5.28,,4.61,,3.13,,4.29,,5.39,,5.19,,5.35,,5.66,,5.47,,7.59,,7.89,,6.4,,3.86,,8.15,,7.7,,7.37,,8.28,,6.17,,5.81,,204.25,
Peso Valvas Vacias,,,,,0.35,,0.15,,0.23,,0.17,,0.22,,0.13,,0.5,,0.33,,0.33,,0.45,,0.62,,0.18,,0.26,,0.27,,0.65,,0.44,,0.68,,0.23,,0.24,,0.48,,0.85,,1.15,,1.48,,0.65,,1.26,,0.6,,0.8,,1.37,,0.77,,0.68,,1.15,,0.65,,0.78,,0.8,,19.9,
Peso Fauna Acomp. Total,11.41,,7.17,,7.84,,15.8,,8.1,,4.73,,4.41,,10.7,,3.8,,7.82,,5.53,,5.09,,14.09,,17.14,,11.65,,13.21,,6.7,,7.13,,9.19,,15.42,,7.67,,12.03,,15.34,,9.8,,11.03,,9.29,,9.31,,6.61,,10.56,,14.66,,3.47,,5.46,,4.34,,7.6,,9.08,,8.12,,331.3,
OTUs,N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg),N,Peso (kg)
>Poliquetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
Chaetopterus variopedatus (cigarro),,,,,1,0.15,,,,,3,15,,,1,0.03,1,0.03,7,0.14,1,25,,,,,3,0.04,6,0.02,5,0.03,,,,,3,0.02,4,0.05,3,0.02,4,0.02,3,0.01,7,0.05,9,0.05,6,0.04,7,0.11,4,0.04,2,0.01,14,0.03,3,0.02,9,0.07,8,0.09,80,0.37,8,0.03,60,0.23,262,41.70
Idanthyrsus armatus (tubo arena),4,,3,,100,0.3,200,0.8,200,0.73,300,1.2,30,0.17,25,0.31,14,0.11,20,0.15,13,0.22,20,0.07,30,0.33,10,0.11,3,0.03,7,0.04,100,0.79,100,0.88,16,0.22,30,0.2,4,0.02,10,0.05,320,0.9,280,0.8,320,0.8,400,2,50,0.3,35,0.18,200,0.55,150,0.37,45,0.14,30,0.11,40,0.14,20,0.6,20,0.06,20,0.05,3169,13.73
poliqueto no identificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,10,0.01,15,15,,,,,5,5,5,5,,,,,,,,,,,,,,,,,2,0.01,,,40,30.02
Serpula narconensis (tubos calcareos),10,,15,,50,0.2,30,0.06,15,25,25,0.03,50,0.02,40,35,30,0.02,20,15,20,0.04,30,0.05,70,0.12,40,0.09,10,0.02,15,0.03,20,15,25,0.03,40,0.07,30,0.09,10,0.03,15,0.04,5,0.01,10,0.02,5,0.01,5,0.01,10,0.02,10,0.02,20,0.04,20,0.04,30,0.04,20,0.03,20,0.02,15,0.02,10,0.01,15,0.02,805,91.25
Phyllochaetopterus sp. (fideo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
>Anfípodos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
Anfipodos no id.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,1,5.00
